testing_results_unparsed
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery Probability: 0.95', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='', reasoning=None, tool_call_id=None, tool_calls=None, reasoning_content='Guess: Neurosurgery\nProbability: 0.85')"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Consult - History and Phy. Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery Probability: 0.70', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Neurology Probability: 0.95', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Urology Probability: 0.95', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='', reasoning=None, tool_call_id=None, tool_calls=None, reasoning_content='Guess: Orthopedic\nProbability: 0.95')"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Cardiovascular / Pulmonary Probability: 0.95', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: General Medicine Probability: 0.65', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Neurology Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: General Medicine Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='', reasoning=None, tool_call_id=None, tool_calls=None, reasoning_content='Guess: Cardiovascular / Pulmonary\nProbability: 0.85')"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Ophthalmology Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Cardiovascular / Pulmonary Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='<think>\nGuess: Cardiovascular / Pulmonary\nProbability: 0.65', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Radiology Probability: 0.70', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
