training_results_unparsed
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery Probability: 0.78', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='', reasoning=None, tool_call_id=None, tool_calls=None, reasoning_content='Guess: Surgery Probability: 0.85')"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Consult - History and Phy. Probability: 0.85', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Surgery Probability: 0.83', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Neurology Probability: 0.95', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='', reasoning=None, tool_call_id=None, tool_calls=None, reasoning_content='Guess: Urology Probability: 0.85')"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Orthopedic Probability: 0.95', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='</think>I will analyze the transcript and provide the classification.  \n\nThe transcript describes a Lexiscan Nuclear Myocardial Perfusion Scan, including details about heart rate, blood pressure, EKG findings, myocardial perfusion imaging results, and ejection fraction. These are all related to cardiac function and cardiovascular testing. The keywords also include ""cardiovascular / pulmonary"".  \n\nBased on the content, the most relevant specialty is:  \n\nCardiovascular / Pulmonary  \n\nGiven the clarity of the content matching that specialty, I assign a high probability.  \n\n**Final answer:**  \n\n</think>Cardiovascular / Pulmonary Probability: 0.95', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Orthopedic Probability: 0.75', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='Guess: Neurology Probability: 0.91', reasoning=None, tool_call_id=None, tool_calls=None)"
"ChatCompletionOutputMessage(role='assistant', content='<think>\nGuess: Office Notes Probability: 0.65', reasoning=None, tool_call_id=None, tool_calls=None)"
