OneClassification,OneConfidence
SURGERY,0.78
SURGERY,0.85
CONSULT-HISTORYANDPHY.,0.85
SURGERY,0.83
NEUROLOGY,0.95
UROLOGY,0.85
ORTHOPEDIC,0.95
CARDIOVASCULAR/PULMONARY,0.95
ORTHOPEDIC,0.75
NEUROLOGY,0.91
OFFICENOTES,0.65
CARDIOVASCULAR/PULMONARY,0.92
OPHTHALMOLOGY,0.95
CARDIOVASCULAR/PULMONARY,0.85
CARDIOVASCULAR/PULMONARY,0.75
RADIOLOGY,0.95
UROLOGY,0.86
NEUROSURGERY,0.85
GENERALMEDICINE,0.95
CONSULT-HISTORYANDPHY.,0.76
NEUROLOGY,0.85
CARDIOVASCULAR/PULMONARY,0.85
OBSTETRICS/GYNECOLOGY,0.95
NEUROLOGY,0.95
SURGERY,0.95
NEUROLOGY,0.76
NEPHROLOGY,0.85
CARDIOVASCULAR/PULMONARY,0.92
CARDIOVASCULAR/PULMONARY,0.65
OPHTHALMOLOGY,0.95
CARDIOVASCULAR/PULMONARY,0.85
OBSTETRICS/GYNECOLOGY,0.95
SURGERY,0.85
ORTHOPEDIC,0.85
OFFICENOTES,0.70
OBSTETRICS/GYNECOLOGY,0.85
GENERALMEDICINE,0.76
UROLOGY,0.95
RADIOLOGY,0.65
OBSTETRICS/GYNECOLOGY,0.92
ENT-OTOLARYNGOLOGY,0.95
UROLOGY,0.75
OPHTHALMOLOGY,0.95
RADIOLOGY,0.95
SURGERY,0.85
CONSULT-HISTORYANDPHY.,0.71
GENERALMEDICINE,0.67
GENERALMEDICINE,0.88
NEUROLOGY,0.78
RADIOLOGY,0.85
CARDIOVASCULAR/PULMONARY,0.85
ORTHOPEDIC,0.88
OBSTETRICS/GYNECOLOGY,0.65
OBSTETRICS/GYNECOLOGY,0.95
OBSTETRICS/GYNECOLOGY,0.95
ENT-OTOLARYNGOLOGY,0.95
SURGERY,0.75
SURGERY,0.65
OFFICENOTES,0.85
NEUROLOGY,0.75
OBSTETRICS/GYNECOLOGY,0.90
RADIOLOGY,0.95
OPHTHALMOLOGY,0.95
CARDIOVASCULAR/PULMONARY,0.95
RADIOLOGY,0.65
GENERALMEDICINE,0.78
CONSULT-HISTORYANDPHY.,0.65
ORTHOPEDIC,0.85
OBSTETRICS/GYNECOLOGY,0.70
ENT-OTOLARYNGOLOGY,0.95
ORTHOPEDIC,0.65
NEUROSURGERY,0.85
OPHTHALMOLOGY,0.95
ORTHOPEDIC,0.95
OBSTETRICS/GYNECOLOGY,0.95
SURGERY,0.85
CARDIOVASCULAR/PULMONARY,0.82
NEUROSURGERY,0.85
NEUROLOGY,0.90
UROLOGY,0.85
SURGERY,0.85
NEUROSURGERY,0.90
UROLOGY,0.95
ORTHOPEDIC,0.92
ORTHOPEDIC,0.95
RADIOLOGY,0.90
OBSTETRICS/GYNECOLOGY,0.95
ORTHOPEDIC,0.85
CARDIOVASCULAR/PULMONARY,0.93
NEUROLOGY,0.76
GASTROENTEROLOGY,0.85
SURGERY,0.75
RADIOLOGY,0.90
SURGERY,0.85
NEUROSURGERY,0.95
CARDIOVASCULAR/PULMONARY,0.75
ORTHOPEDIC,0.86
GENERALMEDICINE,0.75
OBSTETRICS/GYNECOLOGY,0.95
ORTHOPEDIC,0.95
ENT-OTOLARYNGOLOGY,0.78
UROLOGY,0.95
NEUROSURGERY,0.95
ORTHOPEDIC,0.85
NEUROLOGY,0.75
NEUROSURGERY,0.85
CARDIOVASCULAR/PULMONARY,0.92
SURGERY,0.85
ORTHOPEDIC,0.72
ORTHOPEDIC,0.85
SURGERY,0.95
SURGERY,0.75
SURGERY,0.92
ORTHOPEDIC,0.95
SURGERY,0.95
GASTROENTEROLOGY,0.93
CARDIOVASCULAR/PULMONARY,0.95
SURGERY,0.95
UROLOGY,0.95
OPHTHALMOLOGY,0.85
GENERALMEDICINE,0.70
ORTHOPEDIC,0.87
GASTROENTEROLOGY,0.85
GASTROENTEROLOGY,0.95
ORTHOPEDIC,0.95
UROLOGY,0.95
SURGERY,0.95
RADIOLOGY,0.85
NEUROLOGY,0.85
NEUROSURGERY,0.85
SURGERY,0.75
GASTROENTEROLOGY,0.90
OBSTETRICS/GYNECOLOGY,0.95
